N,K,trial,bytes
5,5,43,1026
5,5,44,1026
5,5,45,1026
5,5,46,1026
5,5,47,1026
5,5,48,1026
5,5,49,1026
5,5,50,1026
5,5,51,1026
5,5,52,1026
5,5,53,1026
5,5,54,1026
5,5,55,1025
5,5,56,1026
5,5,57,1026
5,5,58,1026
5,5,59,1026
5,5,60,1026
5,5,61,1026
5,5,62,1026
5,5,63,1026
5,5,64,1026
5,5,65,1026
5,5,66,1026
5,5,67,1026
5,5,68,1026
5,5,69,1026
5,5,70,1026
5,5,71,1026
5,5,72,1026
5,5,73,1026
5,5,74,1026
5,5,75,1026
5,5,76,1026
5,5,77,1026
5,5,78,1026
5,5,79,1026
5,5,80,1026
5,5,81,1026
5,5,82,1026
5,5,83,1026
5,5,84,1026
5,5,85,1026
5,5,86,1025
5,5,87,1026
5,5,88,1026
5,5,89,1026
5,5,90,1026
5,5,91,1026
5,5,92,1025
5,5,93,1025
5,5,94,1026
5,5,95,1026
5,5,96,1026
5,5,97,1026
5,5,98,1026
5,5,99,1026
10,1,0,453
10,1,1,453
10,1,2,453
10,1,3,453
10,1,4,453
10,1,5,453
10,1,6,453
10,1,7,453
10,1,8,453
10,1,9,453
10,1,10,453
10,1,11,453
10,1,12,453
10,1,13,453
10,1,14,453
10,1,15,453
10,1,16,453
10,1,17,453
10,1,18,453
10,1,19,453
10,1,20,453
10,1,21,453
10,1,22,453
10,1,23,453
10,1,24,453
10,1,25,453
10,1,26,453
10,1,27,453
10,1,28,453
10,1,29,453
10,1,30,453
10,1,31,453
10,1,32,453
10,1,33,453
10,1,34,453
10,1,35,453
10,1,36,453
10,1,37,453
10,1,38,453
10,1,39,453
10,1,40,453
10,1,41,453
10,1,42,453
10,1,43,453
10,1,44,453
10,1,45,453
10,1,46,453
10,1,47,453
10,1,48,453
10,1,49,453
10,1,50,453
10,1,51,453
10,1,52,453
10,1,53,453
10,1,54,453
10,1,55,453
10,1,56,453
10,1,57,453
10,1,58,453
10,1,59,453
10,1,60,453
10,1,61,453
10,1,62,453
10,1,63,453
10,1,64,453
10,1,65,453
10,1,66,453
10,1,67,453
10,1,68,453
10,1,69,453
10,1,70,453
10,1,71,453
10,1,72,453
10,1,73,453
10,1,74,453
10,1,75,453
10,1,76,453
10,1,77,453
10,1,78,453
10,1,79,453
10,1,80,453
10,1,81,453
10,1,82,453
10,1,83,453
10,1,84,453
10,1,85,453
10,1,86,453
10,1,87,453
10,1,88,453
10,1,89,453
10,1,90,453
10,1,91,453
10,1,92,453
10,1,93,453
10,1,94,453
10,1,95,453
10,1,96,453
10,1,97,453
10,1,98,453
10,1,99,453
10,2,0,613
10,2,1,613
10,2,2,613
10,2,3,613
10,2,4,613
10,2,5,613
10,2,6,613
10,2,7,613
10,2,8,613
10,2,9,613
10,2,10,613
10,2,11,613
10,2,12,613
10,2,13,613
10,2,14,613
10,2,15,613
10,2,16,613
10,2,17,613
10,2,18,613
10,2,19,613
10,2,20,613
10,2,21,613
10,2,22,613
10,2,23,613
10,2,24,613
10,2,25,613
10,2,26,613
10,2,27,613
10,2,28,613
10,2,29,613
10,2,30,613
10,2,31,613
10,2,32,613
10,2,33,613
10,2,34,613
10,2,35,613
10,2,36,613
10,2,37,613
10,2,38,613
10,2,39,613
10,2,40,613
10,2,41,613
10,2,42,613
10,2,43,613
10,2,44,613
10,2,45,613
10,2,46,613
10,2,47,613
10,2,48,613
10,2,49,613
10,2,50,613
10,2,51,613
10,2,52,613
10,2,53,613
10,2,54,613
10,2,55,613
10,2,56,613
10,2,57,613
10,2,58,613
10,2,59,613
10,2,60,613
10,2,61,613
10,2,62,613
10,2,63,613
10,2,64,613
10,2,65,613
10,2,66,613
10,2,67,613
10,2,68,613
10,2,69,613
10,2,70,613
10,2,71,613
10,2,72,613
10,2,73,613
10,2,74,613
10,2,75,613
10,2,76,613
10,2,77,613
10,2,78,613
10,2,79,613
10,2,80,613
10,2,81,613
10,2,82,613
10,2,83,613
10,2,84,613
10,2,85,613
10,2,86,613
10,2,87,613
10,2,88,613
10,2,89,613
10,2,90,613
10,2,91,613
10,2,92,613
10,2,93,613
10,2,94,613
10,2,95,613
10,2,96,613
10,2,97,613
10,2,98,613
10,2,99,613
10,3,0,779
10,3,1,779
10,3,2,779
10,3,3,779
10,3,4,779
10,3,5,779
10,3,6,779
10,3,7,779
10,3,8,779
10,3,9,779
10,3,10,779
10,3,11,779
10,3,12,779
10,3,13,779
10,3,14,779
10,3,15,779
10,3,16,779
10,3,17,779
10,3,18,779
10,3,19,779
10,3,20,779
10,3,21,779
10,3,22,779
10,3,23,779
10,3,24,779
10,3,25,779
10,3,26,779
10,3,27,779
10,3,28,779
10,3,29,779
10,3,30,779
10,3,31,779
10,3,32,779
10,3,33,779
10,3,34,779
10,3,35,779
10,3,36,779
10,3,37,779
10,3,38,779
10,3,39,779
10,3,40,779
10,3,41,779
10,3,42,779
10,3,43,779
10,3,44,779
10,3,45,779
10,3,46,779
10,3,47,779
10,3,48,779
10,3,49,779
10,3,50,779
10,3,51,779
10,3,52,779
10,3,53,779
10,3,54,779
10,3,55,779
10,3,56,779
10,3,57,779
10,3,58,779
10,3,59,779
10,3,60,779
10,3,61,779
10,3,62,779
10,3,63,779
10,3,64,779
10,3,65,779
10,3,66,779
10,3,67,779
10,3,68,779
10,3,69,779
10,3,70,779
10,3,71,779
10,3,72,779
10,3,73,779
10,3,74,779
10,3,75,779
10,3,76,779
10,3,77,779
10,3,78,779
10,3,79,779
10,3,80,779
10,3,81,779
10,3,82,779
10,3,83,779
10,3,84,779
10,3,85,779
10,3,86,779
10,3,87,779
10,3,88,779
10,3,89,779
10,3,90,779
10,3,91,779
10,3,92,779
10,3,93,779
10,3,94,779
10,3,95,779
10,3,96,779
10,3,97,779
10,3,98,779
10,3,99,779
10,5,0,1186
10,5,1,1186
10,5,2,1186
10,5,3,1186
10,5,4,1186
10,5,5,1186
10,5,6,1186
10,5,7,1185
10,5,8,1186
10,5,9,1186
10,5,10,1186
10,5,11,1186
10,5,12,1186
10,5,13,1186
10,5,14,1186
10,5,15,1186
10,5,16,1186
10,5,17,1186
10,5,18,1186
10,5,19,1186
10,5,20,1186
10,5,21,1186
10,5,22,1185
10,5,23,1185
10,5,24,1185
10,5,25,1185
10,5,26,1185
10,5,27,1186
10,5,28,1186
10,5,29,1186
10,5,30,1186
10,5,31,1186
10,5,32,1186
10,5,33,1186
10,5,34,1186
10,5,35,1186
10,5,36,1186
10,5,37,1186
10,5,38,1186
10,5,39,1186
10,5,40,1186
10,5,41,1186
10,5,42,1186
10,5,43,1186
10,5,44,1186
10,5,45,1186
10,5,46,1186
10,5,47,1186
10,5,48,1186
10,5,49,1186
10,5,50,1186
10,5,51,1186
10,5,52,1186
10,5,53,1185
10,5,54,1186
10,5,55,1186
10,5,56,1186
10,5,57,1186
10,5,58,1186
10,5,59,1186
10,5,60,1186
10,5,61,1186
10,5,62,1186
10,5,63,1186
10,5,64,1186
10,5,65,1186
10,5,66,1186
10,5,67,1185
10,5,68,1186
10,5,69,1186
10,5,70,1186
10,5,71,1186
10,5,72,1185
10,5,73,1186
10,5,74,1186
10,5,75,1186
10,5,76,1186
10,5,77,1186
10,5,78,1186
10,5,79,1186
10,5,80,1186
10,5,81,1185
10,5,82,1186
10,5,83,1186
10,5,84,1186
10,5,85,1185
10,5,86,1186
10,5,87,1186
10,5,88,1186
10,5,89,1186
10,5,90,1186
10,5,91,1186
10,5,92,1186
10,5,93,1186
10,5,94,1186
10,5,95,1186
10,5,96,1186
10,5,97,1185
10,5,98,1186
10,5,99,1186
10,10,0,2082
10,10,1,2082
10,10,2,2082
10,10,3,2082
10,10,4,2081
10,10,5,2082
10,10,6,2082
10,10,7,2081
10,10,8,2082
10,10,9,2082
10,10,10,2082
10,10,11,2082
10,10,12,2082
10,10,13,2082
10,10,14,2082
10,10,15,2082
10,10,16,2082
10,10,17,2082
10,10,18,2082
10,10,19,2080
10,10,20,2082
10,10,21,2082
10,10,22,2082
10,10,23,2082
10,10,24,2082
10,10,25,2082
10,10,26,2082
10,10,27,2082
10,10,28,2082
10,10,29,2082
10,10,30,2082
10,10,31,2082
10,10,32,2082
10,10,33,2082
10,10,34,2082
10,10,35,2082
10,10,36,2082
10,10,37,2082
10,10,38,2081
10,10,39,2081
10,10,40,2082
10,10,41,2081
10,10,42,2082
10,10,43,2082
10,10,44,2080
10,10,45,2082
10,10,46,2082
10,10,47,2081
10,10,48,2082
10,10,49,2081
10,10,50,2082
10,10,51,2082
10,10,52,2082
10,10,53,2082
10,10,54,2082
10,10,55,2082
10,10,56,2082
10,10,57,2082
10,10,58,2082
10,10,59,2082
10,10,60,2082
10,10,61,2082
10,10,62,2082
10,10,63,2082
10,10,64,2082
10,10,65,2081
